Tittle ,Link,Salary,Level,Job description,Requirement,Job
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/853212852864158/,,Nhân viên ,"SIÊU THỊ ĐIỆN MÁY XANH TUYỂN DỤNG
Vị Trí Ứng Viên.
-5 NV: kỹ thuật
-10 NV : bán hàng 
-5 NV: thu ngân
-10 NV: trực web 
-3 NV: bảo vệ 
𝑴𝒖̛́𝒄 𝒕𝒉𝒖 𝒏𝒉𝒂̣̂𝒑 𝒗𝒂̀ 𝒒𝒖𝒚𝒆̂̀𝒏 𝒍𝒐̛̣𝒊:
- Mức lương:
+ Cửa hàng trưởng: 9-14tr/ tháng ( Lương cứng + Lương KPIs)
- Ngoài Các loại Bảo hiểm bắt buộc sẽ được hưởng thêm Bảo hiểm sức khỏe Bảo Việt
- Lương tháng 13 + các chế độ phúc lợi hấp dẫn khác
- Ứng viên được hưởng đặc quyền mua hàng nội bộ và tất cả chế độ tại Tập đoàn .
𝒀𝒆̂𝒖 𝒄𝒂̂̀𝒖:
- Tốt nghiệp THPT trở lên
- Am hiểu bán lẻ, siêu thị, hàng tiêu dùng nhanh
-ib TRỰC TIẾP để dc phỏng vấn.
-Liên hệ SDT/ZL : 0919624853 (Trần Tiên)","- Tốt nghiệp THPT trở lên
- Am hiểu bán lẻ, siêu thị, hàng tiêu dùng nhanh",Tư vấn/ Dịch vụ khách hàng/ Bán hàng/ Kinh doanh
Nhân viên bán hàng,https://www.facebook.com/groups/304446877740761/posts/853195969532513/,"1 ca 4t : 3.600.000
2 ca 8t : 7.500.000",Nhân viên ,"SHOP TUYỂN DỤNG
Vị trí 2 Nữ nhân viên làm pratime tại cửa hàng :
1 ca 4t : 3.600.000
2 ca 8t : 7.500.000
(lương 2 lần 15 và 30 )
Thời gian làm việc :
• 9h00-22h",Nữ trên 18 tuổi,Tư vấn/Bán hàng/ Kinh doanh
Nhân viên online,https://www.facebook.com/groups/304446877740761/posts/853195969532513/,250k/ngày,Nhân viên ,10 nhân viên online : ( lương vào cuối ngày ) *Hỗ trợ xoay ca cho sinh viên theo lịch học. • Ca Sáng :9h00-13h00 • Ca Chiều : 13h00 -16h00 • Ca Tối : 18h00 - 21h00 - Thử Vệc Nhận 100% Lương Trả lương trong ngày 250k 1 ngày Tăng ca thứ 7 chủ nhật thưởng thêm Yc: Nhận Nữ trên 18 tuổi nhiệt tình - có trách nhiệm •Đăng ký làm việc : (Messenger) nhắn tin nhận việc nhé Quan tâm ib trực tiếp mesenger cho mình nhé ! Bình luận trôi mình không check được ,"Nữ trên 18 tuổi, có trách nhiệm",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/853078842877559/,30k/h,Nhân viên ,"HỆ THỐNG CỬA HÀNG WINMART CẦN TUYỂN DỤNG NHÂN VIÊN
Tuyển Nam + Nữ ( yêu cầu đủ 18 tuổi )
Lương trả theo ngày
CÔNG VIỆC:
-Bán hàng , thu ngân ( 30k/h)
- Kiểm duyệt hàng cho khách ( 30k/h)
-Làm trên 3 tháng (35k/h)
( Tất cả nhân viên mới đều được đào tạo và hướng dẫn thử việc )
THỜI GIAN LÀM VIỆC:
Ca Sáng : 9h - 13h
Ca Chiều : 13h - 16h
Ca Tối : 18h- 22h
Ca full : 7h-22h
(Có Thể làm Parttime hoặc Fulltime, Xoay ca linh hoạt)
QUYỀN LỢI:
- Được nghỉ 4 ngày/tháng.
- Được nhận lương (Cuối ngày + nhận lương tuần )
- Được phụ cấp xăng + phòng trọ
Chủ động nhắn tin trực tiếp cho mình để trao đổi công việc",Đủ 18 tuổi,Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/852997039552406/,30k/h,Nhân viên ,"DỊP TRUNG THU SẮP ĐẾN DO SỐ LƯỢNG CÔNG VIỆC NHIỀU NÊN BÊN MÌNH CẦN TUYỂN MỘT SỐ VỊ TRÍ NHÂN VIÊN NAM/NỮ ĐI LÀM NGAY
• Bán thời gian: 30k/h. (nhận lương tuần)
Nhân viên Part time : 15 người
Nhân viên bán hàng : 8 người
Vị trí : Xử lý đơn hàng cho khách : 6 người
2 Nhân viên trực web (Có thể làm được tại nhà )
Có xoay ca linh hoạt cho học sinh, sinh viên
Có thể đăng ký làm tại nhà
•Sáng : 9h00 - 13h30
•Chiều : 13h30 - 17h15
•Tối : 17h30-21h30
FULL CA : 250k
Yêu cầu công việc 17+ trở lên
Không yêu cầu kinh nghiệm, được đào tạo bài bản
Quan tâm thì inbox mình để trao đổi công việc nhé
Liên hệ SDT /ZL : 0568943396 (Hương )","17+ trở lên
Không yêu cầu kinh nghiệm, được đào tạo bài bản",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên hành chính nhân sự,https://www.facebook.com/groups/304446877740761/posts/850603309791779/, Lương cứng 𝟖𝐭𝐫 + thưởng trách nhiệm 3-5tr ( Thu nhập 𝟏𝟏-𝟏𝟓𝐭𝐫 ),Nhân viên ,"𝐌𝐢𝐧𝐡𝐁ạ𝐜𝐡 𝐂𝐨𝐦𝐩𝐚𝐧𝐲 TUYỂN DỤNG  
Các vị trí sau:
- 1 Nhân viên HCNS : Lương cứng 𝟖𝐭𝐫 + thưởng trách nhiệm 3-5tr ( Thu nhập 𝟏𝟏-𝟏𝟓𝐭𝐫 )
- 5 Nhân viên CSKH : Lương cứng 𝟖𝐭𝐫 + hoa hồng + thưởng nóng ( Thu nhập 𝟏𝟎-𝟐𝟓𝐭𝐫, làm việc tốt và chăm chỉ CAM KẾT trên 𝟐𝐗 )
Fulltime: T2-T7 8h00 -17h30 (Nghỉ trưa 1h30p)
Nơi làm việc chuyên nghiệp, hiện đại, ngồi điều hòa cả ngày.
Được đào tạo và hướng dẫn bài bản, cầm tay chỉ việc. 
Môi trường năng động - thoải mái. Không cạnh tranh nội bộ 
10 CTV đăng bài Online : Thu nhập lên đến 𝟏𝟎-𝟏𝟐𝐌. Không bỏ vốn + không cọc. Chỉ cần đăng bài + tư vấn + chốt đơn. Tingting luôn sau khi chốt, không giữ, không ép KPI. 
Ứng viên quan tâm ib ngay hoặc ; 0975851087 (Zalo Em Duyên )",Không yêu cầu kinh nghiệm,Hành chính / Thư ký
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/852992506219526/,"1 ca 4t : 3.600.000
2 ca 8t : 7.500.000
- Thử Vệc Nhận 100% Lương
Trả lương trong ngày 250k 1 ngày
Tăng ca thứ 7 chủ nhật thưởng thêm",Nhân viên ,"SHOP MỚI KHAI TRƯƠNG  TUY.ỂN DỤ.NG NHÂ.N VIÊ.N
Vị trí 2  nhân viên bán hàng tại cửa hàng:
1 ca 4t : 3.600.000
2 ca 8t : 7.500.000
(lương 2 lần 15 và 30 )
Thời gian làm việc :
• 9h00-22h
10 nhân viên online  : ( lương vào cuối ngày )
*Hỗ trợ xoay ca cho sinh viên theo lịch học.
• Ca Sáng :9h00-13h00
• Ca Chiều : 13h00 -16h00
• Ca Tối : 18h00 - 21h00
- Thử Vệc Nhận 100% Lương
Trả lương trong ngày 250k 1 ngày
Tăng ca thứ 7 chủ nhật thưởng thêm
Yc:  Nhận trên 18 tuổi nhiệt tình - có trách nhiệm
•Đăng ký làm việc : (Messenger)  nhắn tin nhận việc nhé
Quan tâm ib trực tiếp mesenger cho mình nhận việc  nhé !",Nhận trên 18 tuổi nhiệt tình - có trách nhiệm,Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/847904533394990/,"LƯƠNG:
- Ca 12 tiếng: 10.500.000 vn₫/tháng +phụ cấp +chuyên cần
- Ca 8 tiếng: 7.500.000 vn₫/tháng +phụ cấp +chuyên cần.
- Ca 4 tiếng: 3.500.000 vn₫/tháng +phụ cấp +chuyên cần.",Nhân viên ,"Hệ thống Winmart cần tuyển nhân viên
CÔNG VIỆC:
- Nhân viên bán hàng/phụ bán hàng.
- Nhân viên đóng gói, dán tem nhãn.
- Nhân viên kho.
- Nhân viên trực quầy giữ đồ
- Nhân viên thu ngân.
THỜI GIAN LÀM VIỆC:
- Ca 4 tiếng: 7h30-11h30, 13h-17h. 
- Ca 8 tiếng: 7h30-16h30 , 8h - 17h , 14h - 22h ( nghĩ trưa 1 tiếng 30p).
- Ca 12 tiếng: 7h30-19h30, 8h-20h, 9h-21h, 10h-22h.
- Trực page :  4người (Có tuyển cả parttime, ưu tiên fulltime)
- Xoay ca 4 tiếng hoặc 8 tiếng.
LƯƠNG:
- Ca 12 tiếng: 10.500.000 vn₫/tháng +phụ cấp +chuyên cần
- Ca 8 tiếng: 7.500.000 vn₫/tháng +phụ cấp +chuyên cần.
- Ca 4 tiếng: 3.500.000 vn₫/tháng +phụ cấp +chuyên cần.
QUYỀN LỢI:
- Được nghỉ 4 ngày/tháng. 
- Được phụ cấp xăng + phòng trọ 1.000.000k/ tháng.
YÊU CẦU
- Nam-nữ:  18 - 35 tuổi
- Thái độ tốt, siêng năng với công việc.
- Không y/c kinh nghiệm, bằng cấp.
Chủ động Ibox trực tiếp mình
Địa chỉ làm việc : Sô 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội
Địa chỉ làm việc : T 1, Toà 170 La Thành, P. Ô Chợ Dừa, Q. Đống Đa, Hà Nội
Địa chỉ làm việc : 281 Đội Cấn, Liễu Giai, Ba Đình, Hà Nội
Địa chỉ làm việc ; Tầng 1, Tòa nhà Trung Yên 1, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội","- Nam-nữ:  18 - 35 tuổi
- Thái độ tốt, siêng năng với công việc.
- Không y/c kinh nghiệm, bằng cấp.",Tư vấn/Bán hàng/ Kinh doanh
,https://www.facebook.com/groups/304446877740761/posts/852444982940945/,,Nhân viên ,"SNIFF 𝑻𝑼𝒀𝑬̂̉𝑵 𝑫𝑼̣𝑵𝑮  ✔️
𝗣𝗥 - 𝗕𝗢𝗢𝗞𝗜𝗡𝗚
Số lượng: CÓ HẠN 
- Lương 8 - 30tr ( Hơn nữa , tuỳ năng lực )
Lương cơ bản + 8,5 % doanh thu + tips + thưởng
- Thời gian: 21h30 -> 1h30
- Làm việc trong một môi trường lành mạnh, chuyên nghiệp
- Không cần kinh nghiệm ( sẽ được đào tạo )
- Không cần kinh nghiệm ( sẽ được đào tạo )
0816026899 -or inbox fb",Không yêu cầu kinh nghiệm,
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/849496606569116/,"Parttime: 4.000.000-6.000.000 tr + % SẢN PHẨM
Fulltime: 8.000.000-10.000.000 tr + % SẢN PHẨM",Nhân viên ,"
MỚI MỞ THÊM CƠ SỞ TUYỂN NHÂN VIÊN BÁN HÀNG ĐI LÀM NGAY!?!
Khu Vực: HÀ NỘI
Thời gian làm việc:
Sáng: 08h30 - 12h00
Chiều : 13h30 - 17h30
Fulltime : 08h30 - 17h30
( CÓ LINH ĐỘNG PHÙ HỢP VỚI THỜI GIAN CÁ NHÂN )
Thu nhập :
Parttime: 4.000.000-6.000.000 tr + % SẢN PHẨM
Fulltime: 8.000.000-10.000.000 tr + % SẢN PHẨM
+ Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái 
+ Được nghỉ ngày chủ nhật
+ Yêu cầu; Nghiêm túc với công việc và gắn bó lâu dài
Ibx ngay để nhận được công việc sớm nhất.
KHÔNG QUA TRUNG GIAN 
Hoặc LH trực tiếp: 0961105228 TUẤN
NHANH TAY INBOX TRỰC TIẾP !","Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái 
+ Yêu cầu; Nghiêm túc với công việc và gắn bó lâu dài",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/304446877740761/posts/852180476300729/,Lương khởi điểm tháng thử việc: 3-5.000.000đ + % hoa hồng (thu nhập hơn 15 triệu => 30 triệu / tháng tùy năng lực ),Nhân viên ,"|Cầu Giấy, Hà Nội| TUYỂN DỤNG 3 NV (có nhận Sinh Viên parttime)
KHÔNG YÊU CẦU KINH NGHIỆM - ĐI LÀM NGAY SAU PHỎNG VẤN
-Không qua môi giới
-Sản Phẩm: thời trang, mỹ phẩm và phụ kiện đi kèm.
THU NHẬP:
Lương khởi điểm tháng thử việc: 3-5.000.000đ + % hoa hồng (thu nhập hơn 15 triệu => 30 triệu / tháng tùy năng lực )
QUYỀN LỢI
- Làm việc trong môi trường chuyên nghiệp
- Lộ trình thăng tiến rõ ràng.
- Được nghỉ lễ, tết, nghỉ phép có lương theo quy định.
- Du lịch trong nước, ăn uống, vui chơi cuối tuần.
Yêu cầu:
- KHÔNG YÊU CẦU KINH NGHIỆM, ĐƯỢC ĐÀO TẠO A-Z
- Có kinh nghiệm tư vấn bán hàng là một lợi thế
- Yêu cầu chăm chỉ, ham học hỏi, có phương tiện đi lại
Thời gian làm việc: 8h30 - 17h30 (T2 - T7) nghỉ CN
----------------------------------------------
IB:0866386127 OR INBOX trực tiếp để nhận JD","- KHÔNG YÊU CẦU KINH NGHIỆM, ĐƯỢC ĐÀO TẠO A-Z
- Có kinh nghiệm tư vấn bán hàng là một lợi thế
- Yêu cầu chăm chỉ, ham học hỏi, có phương tiện đi lại",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/489626281777066/posts/1530450534361297/,,Nhân viên ,"𝐀𝐃𝐈𝐃𝐀𝐒 𝐓𝐔𝐘𝐄̂̉𝐍 𝐃𝐔̣𝐍𝐆 𝐍𝐇𝐀̂𝐍 𝐕𝐈𝐄̂𝐍 𝐁𝐀́𝐍 𝐇𝐀̀𝐍𝐆 𝐊𝐇𝐔 𝐕𝐔̛̣𝐂 𝐇𝐀̀ 𝐍𝐎̣̂𝐈 
Đ𝐈̣𝐀 Đ𝐈𝐄̂̉𝐌 𝐋𝐀̀𝐌 𝐕𝐈𝐄̣̂𝐂
- Aeon mall Hà Đông
- Vincom Smart City
- Vincom Phạm Ngọc Thạch
- Savico Long Biên
- 68 Kim Mã
- 135 Cầu Diễn
𝐂𝐇𝐄̂́ Đ𝐎̣̂ Đ𝐀̃𝐈 𝐍𝐆𝐎̣̂
Thu nhập hấp dẫn
Được cấp phát đồng phục làm việc: áo, giày adidas
Được tham gia các khóa đào tạo của Công ty
Thưởng các ngày lễ tết; hưởng đầy đủ các chế độ cho người lao động
Cơ hội thăng tiến lên các vị trí cao hơn
𝐓𝐇𝐎̛̀𝐈 𝐆𝐈𝐀𝐍 𝐋𝐀̀𝐌 𝐕𝐈𝐄̣̂𝐂: Xoay ca linh hoạt sáng chiều
𝘾𝙖́𝙘 𝙪̛́𝙣𝙜 𝙫𝙞𝙚̂𝙣 𝙦𝙪𝙖𝙣 𝙩𝙖̂𝙢 𝙪̛́𝙣𝙜 𝙩𝙪𝙮𝙚̂̉𝙣 𝙗𝙖̆̀𝙣𝙜 𝙘𝙖́𝙘𝙝 𝙨𝙖𝙪:
Nộp hồ sơ trực tiếp tại cửa hàng
Gửi CV về hòm mail: hoaitran.kd2@gmail.com
Liên hệ: Ms. Hoài: 0385.426.544",Không yêu cầu kinh nghiệm,Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/tuyendung24hnew/posts/8252783288081146/,"Thu nhập TOP đầu thị trường 1-3 tỷ/năm
Bình quân từ 20-100triệu/tháng",Nhân viên,"𝐓𝐡ử 𝐭𝐡á𝐜𝐡 𝟑 𝐧ă𝐦 𝐦𝐮𝐚 𝐧𝐡à 𝐒à𝐢 𝐆ò𝐧 𝐬𝐢ê𝐮 𝐝ễ !!!
GẸT GÔ…
Là đơn vị bất động sản hàng đầu Việt Nam, đại lý Platinum số 1 Vingroup
AlphaReal tự tin giúp bạn thực hiện ước mơ nhanh nhất 
Với các chính sách ưu đãi, hỗ trợ đặc quyền dành riêng cho nhân viên Công ty.
VIỆC GÌ KHÓ QUÁ – ĐỂ ALPHA LO
GIA NHẬP ALPHA, BẠN SẼ ĐƯỢC :
Thu nhập TOP đầu thị trường 1-3 tỷ/năm
Bình quân từ 20-100triệu/tháng
Nhận % HOA HỒNG CAO, thưởng NHANH nhất thị trường, chế độ BHXH và BHYT đầy đủ
Được làm việc và hưởng đặc quyền của Đại lý cấp Platinum của Vingroup
Được hỗ trợ nguồn khách ''Net'' từ MkT
Được hỗ trợ về mọi mặt:
- Thông tin gửi khách mới và nhanh nhất thị trường
- Hỗ trợ ''chốt sale'' đỉnh cao từ Team Lead và GDDA
- Hỗ trợ media và truyền thông: content, hình ảnh, clip..
Địa điểm làm việc tại Vinhomes Central Park (khu #LandMark81) dễ dàng di chuyển, tiếp cận các tiện ích Starbucks, RuNam Bistro, Highlands, Artisan Bakery, Techcombank, Haidilao..
Được ''bao'' trà sữa cafe ngon mỗi tuần
YÊU CẦU
+ Độ tuổi: từ 20 đến 35
+ Có laptop cá nhân, kỹ năng giao tiếp tốt, chịu được áp lực
+ Có kinh nghiệm là 1 lợi thế, không có sẽ được đào tạo
+ Đam mê, nhiệt huyết và quyết liệt trong công việc
+ Quan trọng nhất là máu lửa, khao khát kiếm tiền !
------------------
LIÊN HỆ VÀ ỨNG TUYỂN NGAY
Hotline: 0902.605.103 (Ms.Linh)
E-mail hr@alphareal.vn
Link ứng tuyển https://bit.ly/AlphaReal-Ungtuyen
Địa chỉ: C1.SH08 Vinhomes Central Park, Phường 22, Q.Bình Thạnh, HCM
#AlphaReal #TuyendungAlpha #ĐạilýF1 #Platinum","YÊU CẦU
+ Độ tuổi: từ 20 đến 35
+ Có laptop cá nhân, kỹ năng giao tiếp tốt, chịu được áp lực
+ Có kinh nghiệm là 1 lợi thế, không có sẽ được đào tạo
+ Đam mê, nhiệt huyết và quyết liệt trong công việc
+ Quan trọng nhất là máu lửa, khao khát kiếm tiền !",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/tuyendung24hnew/permalink/24572846828981533/,𝐋𝐮̛𝐨̛𝐧𝐠 𝐜𝐮̛́𝐧𝐠 + 𝐓𝐡𝐮̛𝐨̛̉𝐧𝐠 𝐧𝐨́𝐧𝐠 + %𝐇𝐇 + Thưởng Sàn,,"𝐂𝐚̂̀𝐧 𝐭𝐮𝐲𝐞̂̉𝐧 𝐧𝐡𝐚̂𝐧 𝐯𝐢𝐞̂𝐧 𝐤𝐢𝐧𝐡 𝐝𝐨𝐚𝐧𝐡 - 𝐂𝐒𝐊𝐇 𝐓𝐄𝐋𝐄𝐒𝐀𝐋𝐄𝐒
 𝐊𝐇𝐎̂𝐍𝐆 𝐘𝐄̂𝐔 𝐂𝐀̂̀𝐔 𝐊𝐈𝐍𝐇 𝐍𝐆𝐇𝐈𝐄̣̂𝐌 
----------------------------------------------------------
 𝐓𝐇𝐔 𝐍𝐇𝐀̣̂𝐏: 𝐊𝐇𝐎̂𝐍𝐆 𝐆𝐈𝐎̛́𝐈 𝐇𝐀̣𝐍,
- 𝐊𝐡𝐨̂𝐧𝐠 𝐚́𝐩 𝐝𝐨𝐚𝐧𝐡 𝐬𝐨̂́ 𝐊𝐏𝐈 -
𝐋𝐮̛𝐨̛𝐧𝐠 𝐜𝐮̛́𝐧𝐠 + 𝐓𝐡𝐮̛𝐨̛̉𝐧𝐠 𝐧𝐨́𝐧𝐠 + %𝐇𝐇 + Thưởng Sàn
𝐘𝐞̂𝐮 𝐜𝐚̂̀𝐮 :-
Có 𝐋𝐀𝐏𝐓𝐎𝐏 cá nhân để thuận tiện công việc
Làm FULLTIME
𝐓𝐇𝐎̛̀𝐈 𝐆𝐈𝐀𝐍:-
-Từ 8h15 - 17h30 ( Nghỉ trưa 1 tiếng rưỡi)
-Từ Thứ 2 - Chủ Nhật ( được nghỉ 1 ngày bất kì)
𝐋𝐮̛𝐨̛𝐧𝐠 𝐭𝐡𝐚́𝐧𝐠 𝐭𝐡𝐮̛́ 𝟏𝟑, 𝐧𝐠𝐡𝐢̉ 𝐋𝐞̂̃/ 𝐓𝐞̂́𝐭 𝐭𝐡𝐞𝐨 đ𝐮́𝐧𝐠 𝐪𝐮𝐲 đ𝐢̣𝐧𝐡 𝐍𝐡𝐚̀ 𝐧𝐮̛𝐨̛́𝐜-
Đ𝐮̛𝐨̛̣𝐜 đ𝐚̀𝐨 𝐭𝐚̣𝐨 𝐛𝐚̀𝐢 𝐛𝐚̉𝐧, 𝐜𝐡𝐮𝐲𝐞̂𝐧 𝐧𝐠𝐡𝐢𝐞̣̂𝐩.-
𝐋𝐨̣̂ 𝐭𝐫𝐢̀𝐧𝐡 𝐭𝐡𝐚̆𝐧𝐠 𝐭𝐢𝐞̂́𝐧 𝐜𝐚́𝐜 𝐯𝐢̣ 𝐭𝐫𝐢́ 𝐜𝐚𝐨 𝐡𝐨̛𝐧 𝐫𝐨̃ 𝐫𝐚̀𝐧𝐠
Địa chỉ: Tòa HH1- Ngõ 102 Trường Chinh - Phương Mai - Đống Đa - Hà Nội
Ib nhận Jd/Add zalo 039.405.1824","𝐘𝐞̂𝐮 𝐜𝐚̂̀𝐮 :-
Có 𝐋𝐀𝐏𝐓𝐎𝐏 cá nhân để thuận tiện công việc
Làm FULLTIME",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên chăm sóc khách hàng,https://www.facebook.com/groups/tuyendung24hnew/permalink/24572846828981533/,Thu nhập 8 - 20tr/tháng (k giới hạn),Nhân viên,"TUYỂN DỤNG CSKH
PHỎNG VẤN ĐI LÀM LUÔN 
Công việc:
- Lắng nghe phản hồi của khách hàng về sp của công ty
- Lên đơn với những khách hàng có nhu cầu sử dụng tiếp sp
KHÔNG YÊU CẦU kinh nghiệm
Thu nhập 8 - 20tr/tháng (k giới hạn)
Làm việc 8h15-17h30 ( nghỉ trưa 1h30 )
Tháng được nghỉ 4 ngày
Lộ trình thăng tiến rõ ràng: lên Lead, quản lý, trưởng phòng
Được hưởng đầy đủ các chế độ: bh, lương tháng 13, hiếu hỉ, du lịch hàng năm cùng công ty, team building, liên hoan hàng tháng 
Yêu cầu: Có laptop
Địa chỉ: 102 Trường Chinh, Phương Mai, Đống Đa Quan tâm ib nhận Job!","KHÔNG YÊU CẦU kinh nghiệm
Yêu cầu: Có laptop",Tư vấn/ Dịch vụ khách hàng
Nhân viên kinh doanh ,https://www.facebook.com/groups/tuyendung24hnew/permalink/24572846828981533/,"THU NHẬP MỖI CA 
Parttime : 4 triệu
Fulltime : 8 triệu ( Ưu tiên full-time )",Nhân viên,"TUYỂN NHÂN VIÊN KINH DOANH
KHU VỰC: DUY TÂN - CẦU GIẤY - HÀ NỘI.
Thời gian làm việc 
Ca sáng : 9h-12h .
Ca chiều : 13h30-17h30 .
Fulltime : 9h - 17h30 .
…
THU NHẬP MỖI CA 
Parttime : 4 triệu
Fulltime : 8 triệu ( Ưu tiên full-time )
…
Yêu cầu : Nam nữ từ 18-25 tuổi , không yêu cầu ngoại hình, chăm chỉ, trung thực .
Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái .
Được nghỉ chủ nhật .
…
INBOX NGAY ĐỂ NHẬN CÔNG VIỆC VÀ NHẬN LỊCH PHỎNG VẤN SỚM NHẤT
___Không qua trung gian___","Nam nữ từ 18-25 tuổi , không yêu cầu ngoại hình, chăm chỉ, trung thực .
Không có kinh nghiệm sẽ được đào tạo, làm việc trong môi trường thoải mái .",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/tuyendung24hnew/permalink/24529377639995119/,Thu nhập 8 - 20tr/tháng (k giới hạn),Nhân viên,"TUYỂN DỤNG CHỈ CẦN CÓ LAPTOP CÁ NHÂN PHỎNG VẤN ĐI LÀM LUÔN 
Công việc:
- Lắng nghe phản hồi của khách hàng về sp của công ty
- Lên đơn với những khách hàng có nhu cầu sử dụng tiếp sp
KHÔNG bị áp KPI
KHÔNG YÊU CẦU kinh nghiệm
Thu nhập 8 - 20tr/tháng (k giới hạn)
Làm việc 8h15-17h30 ( nghỉ trưa 1h30 )
Tháng được nghỉ 4 ngày
Lộ trình thăng tiến rõ ràng: lên Lead, quản lý, trưởng phòng
Được hưởng đầy đủ các chế độ: bh, lương tháng 13, hiếu hỉ, du lịch hàng năm cùng công ty, team building, liên hoan hàng tháng
Yêu cầu: Có laptop
Địa chỉ: 102 Trường Chinh, Phương Mai, Đống Đa
Quan tâm ib nhận Job!","CHỈ CẦN CÓ LAPTOP CÁ NHÂN
Không yêu cầu kinh nghiệm",Tư vấn/Bán hàng/ Kinh doanh
Nhân viên kinh doanh ,https://www.facebook.com/groups/tuyendung24hnew/permalink/24464937516439132/,lương khởi điểm 7tr/th+ Hoa hồng.,Nhân viên,"Tuyển Sale không yêu cầu kinh nghiệm - Tự chủ và linh hoạt thời gian - lương khởi điểm 7tr/th+ Hoa hồng.
Làm việc tại Thanh Xuân - Hoàng Mai.
Quan tâm ib hoặc lh: 0386632500.",không yêu cầu kinh nghiệm,Tư vấn/Bán hàng/ Kinh doanh
Đại lý online ,https://www.facebook.com/groups/tuyendung24hnew/permalink/24464937516439132/,"Ứng 5-10m, thưởng 5m
Thưởng 1m/1khach",Đại lý,"TUYỂN ĐẠI LÝ OL UY TÍN
Triết khấu max 65%
Ứng 5-10m, thưởng 5m
Thưởng 1m/1khach
cọc,vốn, xanh chín.
AD: TELE-@tfhoanglong286",không yêu cầu kinh nghiệm,Bán hàng/ Kinh doanh
Nhân viên bất động sản,https://www.facebook.com/groups/tuyendung24hnew/permalink/24377272001872351/,Hoa hồng thấp nhất 41tr/vụ,Nhân viên,"ACE nào ở Hà Nội đi làm BĐS với em đi. Làm thêm cũng được. Thích quận nào bán nhà quận đấy. K có kinh nghiệm sẽ được hướng dẫn, miễn phí 100%. Giờ giấc thoải mái, k cần lên cty, k cần bỏ vốn. Hoa hồng thấp nhất 41tr/vụ. Liên hệ: Yến - 0338288093.",không yêu cầu kinh nghiệm,Bán hàng/ Kinh doanh/ Bất động sản
Nhân viên bán hàng,https://www.facebook.com/groups/tuyendung24hnew/permalink/24531255976473952/,phụ cấp ăn trưa và xăng xe 60k/ngày,Nhân viên,"Tuyển dụng:
2 nhân viên bán hàng, đi thị trường, hoa hồng cao, có hỗ trợ tiền ăn trưa và xăng xe 60k/ngày
2 nhân viên giao hàng có phụ cấp ăn trưa và xăng xe 60k/ngày
Thời gian làm việc: thứ 2- thứ 7
Chi tiết liên hệ sđt/Zalo: 0819502555",không yêu cầu kinh nghiệm,Bán hàng/ Kinh doanh
Nhân viên bán hàng,https://www.facebook.com/groups/tuyendung24hnew/permalink/24572475439018672/,"•Lương tháng đầu: 𝟴𝘁𝗿𝟰𝟭𝟬𝗸
•Hoa hồng từ 3,5-4% thu nhập từ 9-25tr",Nhân viên,"𝙆𝙃𝙊̂𝙉𝙂 𝙔𝘾 𝙆𝙄𝙉𝙃 𝙉𝙂𝙃𝙄𝙀̣̂𝙈 - 𝙆𝙊 𝘼́𝙋 𝘿𝙊𝘼𝙉𝙃 𝙎𝙊̂́
Vp tại: 𝗠𝗲̂̃ 𝗧𝗿𝗶̀ - 𝗠𝘆̃ Đ𝗶̀𝗻𝗵
•Lương tháng đầu: 𝟴𝘁𝗿𝟰𝟭𝟬𝗸
•Hoa hồng từ 3,5-4% thu nhập từ 9-25tr
Data KH có sẵn
Làm giờ HC nghỉ chiều T7+CN+Lễ
Lh/ZaL0: 𝟎𝟗𝟖𝟏𝟐𝟐𝟏𝟏𝟔𝟖",không yêu cầu kinh nghiệm,Tư vấn/ Bán hàng/ Kinh doanh
